HMDB_code	HMDB_name
HMDB00062	vrij carnitine
HMDB00201	C2-carnitine;Acetylcarnitine
HMDB00824	C3-carnitine;Propionylcarnitine
HMDB13124	C3:1-carnitine;Propenoylcarnitine
HMDB0013125	C3-OH-carnitine;Hydroxypropionylcarnitine
HMDB02095	C3-DC-carnitine;Malonylcarnitine
HMDB00736	C4-carnitine;(Iso)butyryl-L-carnitine
HMDB13127	C4:3-OH-carnitine;3-Hydroxybutyrylcarnitine
HMDB13133	C4-DC-carnitine;Methylmalonylcarnitine
HMDB00688	C5-carnitine;(Iso)valerylcarnitine
HMDB02366	C5:1-carnitine;Tiglylcarnitine
HMDB0061189	C5-OH-carnitine;3-Hydroxy isovalerylcarnitine
HMDB13130	C5-DC-carnitine;Glutarylcarnitine
HMDB00756	C6-carnitine;Hexanoylcarnitine
HMDB13161	C6:1-carnitine;Hexenoyl-L-carnitine 
HMDB61633	C6-OH-carnitine;3-Hydroxyhexanoyl carnitine
HMDB00552	C6-DC-carnitine;3-Methylglutarylcarnitine
HMDB13238	C7-carnitine;Heptanoylcarnitine
HMDB00791	C8-carnitine;Octanoylcarnitine
HMDB13324	C8:1-carnitine;2-Octenoylcarnitine
HMDB0240724	C8-DC-carnitine;Suberoyl-L-carnitine
HMDB00651	C10-carnitine;Decanoylcarnitine
HMDB13205	C10:1-carnitine;Decenoylcarnitine
HMDB13325	C10:2-carnitine;Decadienoylcarnitine
HMDB02250	C12-carnitine;Dodecanoylcarnitine
HMDB13326	C12:1-carnitine;Dodecenoylcarnitine
HMDB13164	C12-OH-carnitine;2-Hydroxylauroylcarnitine
HMDB13327	C12-DC-carnitine;Dodecanedioylcarnitine
