HMDB_code	HMDB_name
HMDB00062	vrij carnitine
HMDB00201	C2-carnitine;Acetylcarnitine
HMDB00824	C3-carnitine;Propionylcarnitine
HMDB13124	C3:1-carnitine;Propenoylcarnitine
HMDB13125	C3-OH-carnitine;Hydroxypropionylcarnitine
HMDB02095	C3-DC-carnitine;Malonylcarnitine
HMDB00736	C4-carnitine;(Iso)butyryl-L-carnitine
HMDB13127	C4:3-OH-carnitine;3-Hydroxybutyrylcarnitine
HMDB13133	C4-DC-carnitine;Methylmalonylcarnitine
HMDB00688	C5-carnitine;(Iso)valerylcarnitine
HMDB02366	C5:1-carnitine;Tiglylcarnitine
HMDB0061189	C5-OH-carnitine;3-Hydroxy isovalerylcarnitine
HMDB13130	C5-DC-carnitine;Glutarylcarnitine
HMDB00756	C6-carnitine;Hexanoylcarnitine
HMDB13161	C6:1-carnitine;Hexenoyl-L-carnitine 
HMDB61633	C6-OH-carnitine;3-Hydroxyhexanoyl carnitine
HMDB00552	C6-DC-carnitine;3-Methylglutarylcarnitine
HMDB13238	C7-carnitine;Heptanoylcarnitine
HMDB00791	C8-carnitine;Octanoylcarnitine
HMDB13324	C8:1-carnitine;2-Octenoylcarnitine
HMDB0240724	C8-DC-carnitine;Suberoyl-L-carnitine
HMDB00651	C10-carnitine;Decanoylcarnitine
HMDB13205	C10:1-carnitine;Decenoylcarnitine
HMDB13325	C10:2-carnitine;Decadienoylcarnitine
HMDB02250	C12-carnitine;Dodecanoylcarnitine
HMDB13326	C12:1-carnitine;Dodecenoylcarnitine
HMDB13164	C12-OH-carnitine;2-Hydroxylauroylcarnitine
HMDB13327	C12-DC-carnitine;Dodecanedioylcarnitine
HMDB05066	C14-carnitine;Tetradecanoylcarnitine
HMDB02014	C14:1-carnitine;Tetradecenoylcarnitine
HMDB13331	C14:2-carnitine;3, 5-Tetradecadiencarnitine
HMDB61640	C14-OH-carnitine;3-Hydroxytetradecanoyl carnitine
HMDB00222	C16-carnitine;L-Palmitoylcarnitine
HMDB13207	C16:1-carnitine;Hexadecenoylcarnitine
HMDB61642	C16-OH-carnitine;3-hydroxyhexadecanoyl carnitine
HMDB13333	C16:1-OH-carnitine;hydroxyhexadecenoyl-L-carnitine
HMDB00848	C18-carnitine;Stearoylcarnitine
HMDB05065	C18:1-carnitine;Oleoylcarnitine
HMDB06469	C18:2-carnitine;Linoleyl carnitine
HMDB13154	C18-OH-carnitine;12-Hydroxy-12-octadecanoylcarnitine
HMDB06460	C20-carnitine;Arachidylcarnitine
HMDB06455	C20:4-carnitine;Arachidonylcarnitine
HMDB06509	C24:1-carnitine;Nervonylcarnitine
HMDB06202	dimethyl-C9-carnitine
HMDB06320	dimethyl-C7-carnitine
HMDB06831	3-Dehydroxycarnitine;4-Butyrobetaine
HMDB12154	3-Dehydrocarnitine
HMDBAAC01	OCTN2-DiagRatio;C3/Met
HMDBAAC02	OCTN2-DiagRatio;Phe/(C3+C16)
HMDB0AC05	SCHAD-DiagRatio;C4OH/C2
HMDB0AC04	MCAD-DiagRatio;C8/C2
HMDB0AC07	MCAD-DiagRatio;C8/C10
HMDB0AC03	VLCAD-DiagRatio;C14:1/C2
HMDB0AC01	CPT1-DiagRatio;C0/(C16+C18)
HMDB0AC02	CPT2-DiagRatio;(C16+C18:1)/C2
HMDB0AC06	TMLHE-DiagRatio;TML/GBB
